clause,risk
"“Company Material Adverse Effect” means any event, circumstance, development, change, occurrence or effect that, individually or in the aggregate, has had or would reasonably be expected to have, a material adverse effect on the financial condition, assets, liabilities, business or results of operations of the Company and its Subsidiaries, taken as a whole; provided that no event, circumstance, development, change, occurrence or effect to the extent resulting from, arising out of, or relating to any of the following shall be deemed to constitute, or shall be taken into account in determining whether there has been, a Company Material Adverse Effect, or whether a Company Material Adverse Effect would reasonably be expected to occur: (i) any changes after the date hereof in general United States or global economic conditions, including changes in United States or global securities, credit, financial, debt or other capital markets, (ii) any changes after the date hereof in conditions generally affecting the industries in which the Company or any of its Subsidiaries materially engages, (iii) any reduction in the assets under management of the Company or any of its Subsidiaries (it being understood and agreed that this clause (iii) shall not preclude Parent from asserting that any facts or occurrences giving rise to or contributing to such reduction that are not otherwise excluded from the definition of Company Material Adverse Effect should be deemed to constitute, or be taken into account in determining whether there has been, or would reasonably be expected to be, a Company Material Adverse Effect), (iv) any decline, in and of itself, in the market price or trading volume of the Company Non-Voting Common Stock, any changes in credit ratings and any changes in any analysts’ recommendations or ratings with respect to the Company or any of its Subsidiaries (it being understood and agreed that this clause (iv) shall not preclude Parent from asserting that any facts or occurrences giving rise to or contributing to such decline that are not otherwise excluded from the definition of Company Material Adverse Effect should be deemed to constitute, or be taken into account in determining whether there has been, or would reasonably be expected to be, a Company Material Adverse Effect), (v) any failure, in and of itself, by the Company or any of its Subsidiaries to meet any internal or published projections, forecasts, estimates or predictions in respect of revenues, earnings or other financial or operating metrics for any period (it being understood and agreed that this clause (v) shall not preclude Parent from asserting that any facts or occurrences giving rise to or contributing to such failure that are not otherwise excluded from the definition of Company Material Adverse Effect should be deemed to constitute, or be taken into account in determining whether there has been, or would reasonably be expected to be, a Company Material Adverse Effect), (vi) the execution and delivery of this Agreement, the public announcement or the pendency of this Agreement (it being understood and agreed that this clause (vi) shall not apply with respect to any representation or warranty that is intended to address the consequences of the execution and delivery of this Agreement or the public announcement or the pendency of this Agreement), (vii) any changes after the date hereof in any Applicable Law or GAAP (or authoritative interpretations thereof), (viii) any action or omission taken by the Company pursuant to the written request of Parent or the Merger Subs or (ix) any acts of God, natural disasters, terrorism, armed hostilities, sabotage, war or any escalation or worsening of acts of war, epidemic, pandemic or disease outbreak (including the COVID-19 pandemic), except in the case of each of clauses (i), (ii), (vii) or (ix), to the extent that any such event, circumstance, development, change, occurrence or effect has a disproportionate adverse effect on the Company and its Subsidiaries, taken as a whole, relative to the adverse effect such event, circumstance, development, change, occurrence or effect has on other companies operating in the industries in which the Company or any of its Subsidiaries materially engages; it being agreed, for purposes of this Agreement, that the COVID-19 pandemic has not, as of the   7   date of this Agreement, had such a materially disproportionate adverse effect on the Company and its Subsidiaries, taken as a whole. (Pages 12-13)",0
"Company will not sublicense pass-through or otherwise grant to any third parties the rights granted to Company hereunder without the NFLA prior written consent, including but not limited to the right to use the Licensed Marks.",1
Throughput of all data being served directly to the end user shall be sustained at least 50Kbits/sec as measured by Excite@Home's monitoring stations in at least 80% of all monitored cases.,1
"AEIS and/or their appointed representatives of AEIS or American Express Travel Related Services Inc. as solely determined by AEIS, shall be entitled to inspect and approve Seller's safekeeping facilities at any time during normal business hours.",0
"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:",1
"Confidential Information: means all confidential information (however recorded, preserved or disclosed) disclosed by a Party or its Representatives to the other Party and that Party's Representatives including but not limited to: (a) the fact that discussions and negotiations are taking place concerning the Purpose and the status of those discussions and negotiations; (b) the existence and terms of this Agreement; ",0
"In respect of failure to meet the Specifications, if Products do not comply with the warranties set forth in clause 7.1, Customer may then, after having consulted Philips as to the most appropriate remedy, elect reasonably to have Products: i. returned to Philips for repair or replacement; ii. repaired or replaced by Philips in the field; or iii. repaired or replaced by Customer in the field, including Products in distributor inventory and Customer's installed base; or<omitted>iv. returned to Philips in exchange for a full refund of the purchase price for the non-conforming Products paid under this Agreement.",1
"The warranty period for each Product is specified in the Price List that is in effect on the date NETGEAR receives Distributor's order, and shall apply regardless of any extended warranty period which Distributor may choose to provide to its customers.",0
"Upon any capital reorganization of the Company's capital stock (other than a subdivision, combination, reclassification or exchange of shares provided for elsewhere in this Section 2) or a merger or consolidation of the Company with or into another corporation, then as a part of such reorganization, merger or consolidation, provision shall be made so that the Holder shall thereafter be entitled to receive upon the exercise of this Warrant, the number and kind of securities and property of the Company, or of the successor corporation resulting from such reorganization, merger or consolidation, to which that Holder would have received for the Shares if this Warrant had been exercised immediately before such reorganization, merger or consolidation.",1
"Upon termination of this Agreement, or earlier upon Discloser's request, Recipient shall promptly return or destroy all documents and tangible items in its possession which contain any part of the Confidential Information of Discloser.  ",0
The amount of such insurance shall not be less than the replacement cost of the Equipment.,0
"Unless either party gives written notice of termination of this Agreement at least 60 days prior to the end of the Initial Term, or any successive three-year term, this Agreement shall automatically renew for successive additional three-year terms; provided, however, that this Agreement shall automatically terminate upon the dissolution of the client.",1
"Additionally, during any Period that a Regional Fund (as defined in Section 9.3 [Regional Fund] below) for the area in which your Franchised Business is located is in effect, you must make a contribution as described in Section 9.2 [Local Marketing] below in such amounts as we specify in writing up to two percent (2%) of your Gross Revenues for the preceding Period; in addition, you may be required to contribute to a Regional Fund up to an additional two percent (2%) of Gross Revenues of your Franchised Business if the members of that Regional Fund vote to increase the total contribution, as provided in Section 9.3.5 [Regional Fund] below.",1
"You agree that during the term of this Agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity:<omitted>17.1.2. Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business;",1
All AT&T Affiliates receiving Material or Services under this Agreement and the federal government of the United States shall be express third party beneficiaries under this Agreement.,0
"7. Confidential Information shall not include information which is: d. If the Receiving Party receives a court order to disclose Confidential Information.  In this case Receiving Party shall  (i) promptly notify the Disclosing Party in order to allow the latter to act and avoid such disclosure, and  ",1
"Customer shall not sell, lease, copy, distribute, transfer, assign or sublicense the Licensed Software to any third party.",1
"Subject to the approval process in Section 2, theglobe hereby grants to Boxlot a non-exclusive, worldwide license to use, reproduce, create derivative works of (only as necessary to build Co- Branded Pages), publicly display, publicly perform and digitally perform the Page Templates on Co-Branded Pages.",0
"You and all Owners must execute a general release, in a form satisfactory to us, of all claims against us and our past, present and future affiliates, officers, directors, shareholders, agents and employees.",0
"Subject to the terms and conditions of this Agreement, JRVS appoints the Distributor, and the Distributor hereby accepts such appointment, as JRVS'S non-exclusive authorized distributor for sale of the Products to the Customers (other than House Account) in the Territory (as these terms are defined in Section 1.8, above).",0
"At or about the effective date of termination, the Parties will negotiate in good faith to reach agreement as to reasonable remuneration (whether as a royalty or in some other form as the Parties may agree), which will be addressed in one or more written agreements.",1
"The Transporter reserves the right to reject any Transportation request in addition to the reasons mentioned during the nomination process and the Transportation schedule, those coming from a Sender who has breached a Transportation contract, this Manual or any applicable regulations, including but without being limited to: 11.1.1 Delivery of Hydrocarbons without the minimum quality specifications indicated in this Manual. 11.1.2 Failing to deliver sufficient Hydrocarbons to fill in the line in the proportion that corresponds,",1
"f. Any documents or materials that are furnished by or on behalf of the disclosing party, and all other Proprietary Information in whatever form, including documents, reports, memoranda, notes, files or analyses prepared by or on behalf of the receiving party, including all copies of such materials, shall be promptly returned by the receiving party to the disclosing party upon written request by the disclosing party for any reason. ",0
"1.4 “Confidential Information” means any data or information that is proprietary to the Discloser relating to each party’s respective business or affairs (including, but not limited to, current and future products, designs, business plans, operations, know-how, technologies, customers, employees, procurement, contracts, research and development, manufacturing processes and plans, marketing strategies, financial information, intellectual property, and related information) disclosed to Recipient after the effective date of this agreement by the Discloser or any third party on behalf of Discloser, whether in written, oral or any other tangible or intangible form.  ",0
"Subject to the limitations set forth in this Agreement, the Joint IP may be used freely by either Party or its Affiliates and licensed to Third Parties by Conformis and its Affiliates, on the one hand, outside of the Buyer Field or by Stryker and its Affiliates, on the other hand, within the Buyer Field, in each case, without the consent of, or duty to account to or notify, the other Party, but, except with respect to external licenses of the Improved Conformis Background IP by Conformis or its Affiliates to Third Parties, any external Third Party license shall be governed in accordance with the last sentence of Section 4.3(c) of the APA.",0
"This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to New York conflict laws.",0
Customer may not change the price of Buy-Sell<omitted>materials during any Fiscal Year.,0
The BSP will provide full comprehensive replacement insurance cover for all assets contained in the Asset Register (Schedule A).,0
"Except to Affiliates of Valeant, Valeant's rights and obligations under this Section 2.1 are non-transferable, non-assignable, and non-delegable.",0
"Otherwise, Shipper shall not assign this Agreement or any of its rights hereunder, except in accord with Article III, Section 11 of the General Terms and Conditions of Transporter's FERC Gas Tariff.",1
"In the event that Qualigen nonetheless receives an unsolicited offer to engage in a Sale Transaction during such Exclusivity Period, Qualigen may engage with such party to the extent legally required to comply with its fiduciary duties, so long as Qualigen (i) promptly communicates to Sekisui the material terms of any proposal or offer or request for information which it may receive in respect of any such proposed Sale Transaction, including the purchase price, form and timing of consideration and the identity of the acquirer, and (ii) complies with Sekisui's Right of First Refusal (as defined below).",0
"This amount must equal the greater of (a) Three Thousand and No/100 Dollars ($3,000.00); or (b) five percent (5%) of the Franchise's gross revenues for each month during the term of this Agreement (the ""Local Advertising Requirement"").",1
"The receiving party will not make any copies of the Confidential Information received from the disclosing party except as necessary for its employees, parent company and majority-owned subsidiaries with a need to know.  ",0
"Subject to the terms and conditions of this Agreement, HEMISPHERX agrees to exclusively supply Product to SCIEN in the Territory with a minimum expiry of 6 months from the date of shipment.",1
"You agree at your own expense to do the following by the Opening Deadline defined in Exhibit 1:<omitted>(10) provide proof, in a format satisfactory to us, that you have obtained all required insurance policies, and have name us, as an additional insurance under all such policies;",0
"On any termination of this Agreement under Section 5.l (a), (b), or (c) all outstanding stock options granted to the Consultant shall be exercisable in accordance with the terms of the option agreements covering such grants",1
"This Agreement may be terminated by Nexstar by written notice to WYZZ (i) any time upon six (6) months prior notice, (ii) on six (6) months prior notice following the sale of WYZZ-TV by WYZZ, and/or (iii) if Nexstar is not then in material default or breach hereof, and WYZZ is in material breach of its representations or its material obligations hereunder, and has failed to cure such breach within thirty (30) days of written notice from Nexstar; provided, no notice may be given pursuant to clause (i) of this section prior to the eighteen (18) month anniversary of the Effective Date.",1
"EDGE and Mediacom, LLC shall be named as an additional insured.",0
"5.2 Company Forbearances. During the period from the date of this Agreement to the Effective Time or earlier termination of this Agreement, except as set forth in the Company Disclosure Schedule, as expressly contemplated or permitted by this Agreement or as required by law (including the Pandemic Measures), the -42-      Company shall not, and shall not permit any of its Subsidiaries to, without the prior written consent of Parent (such consent not to be unreasonably withheld, conditioned or delayed): (Pages 50-51)",0
"This disclaimer applies without limitation (i) to claims for lost profits, (ii) regardless of the form of action, whether in contract, tort (including negligence), strict liability, or otherwise, and (iii) regardless of whether such damages are foreseeable or whether any member of the MS Provider Group or the MSCI Provider Group has been advised of the possibility of such damages.",1
To accept the validity of the Proprietary Marks as they exist now and in the future and agree that you will not contest the validity of any of the Proprietary Marks at any time;,0
This Agreement shall be governed and construed according to the law of Tennessee.,0
"Subject to the provisions of subsection (g) of this Section 4.1 and Section 8.2 hereof, if at any time after the Closing Date, the Company proposes to issue or sell Equity Securities (""Additional Securities"") other than (i) under any Stock Option Plan, (ii) pursuant to the exercise of options under any Stock Option Plan, (iii) upon the exercise, exchange or conversion of any Convertible Securities, or (iv) for property other than money, the HOC Entities shall have the right to subscribe for and purchase Additional Securities, at the price at which such Additional Securities are offered for sale to other purchasers (the ""Other Purchasers""), up to its Pro Rata Interest (as defined below) prior to giving effect to the issuance or sale of such Additional Securities",1
"SFJ shall use commercially reasonable efforts to obtain from each Third Party contractor that SFJ or its Affiliate proposes to engage to conduct activities under or in connection with this Agreement on behalf of SFJ or its Affiliates (i) an assignment, (ii) an exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers, or (iii) a non‑exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers ((i) through (iii) in order of preference), to PB of any Trial Invention that such Third Party contractor conceives, discovers, develops or otherwise makes in connection with activities conducted relating to this Agreement.",0
"KI, Inc. shall be entitled to a copy of the then prevailing certificate of insurance, which shall be furnished KI, Inc. by Diplomat.",0
"Franchisee therefore agrees that during the term of the Franchise Agreement, or the period of time which Franchisee operates a Unit under this Agreement, whichever is shorter, neither Franchisee nor any Affiliate, immediate family member, or in the event Franchisee is a corporation any Owner thereof and member of his immediate family or in the event Franchise is a partnership any partner (general or limited) thereof and any member of his immediate family, shall:<omitted>(2) Recruit or hire any employee who, within the immediately preceding six (6) month period, was employed by Pretzel Time or any Pretzel Time Unit operated by Pretzel Time, its Affiliates or another franchisee or licensee of Pretzel Time, without obtaining the prior written permission of Pretzel Time or such franchisee.",0
All required policies of insurance will be placed with insurers with no less than an A.M. Best rating of A- VII.,0
I agree that in respect of the Confidential Information received from The Business Partnership I will: Treat it as confidential and make no copies thereof not disclose it to any third party without the prior written consent of The Business Partnership and use it solely for the purpose as agreed between parties ,0
"Notwithstanding the foregoing,  (i) you and your Representatives will not be required to delete, erase or destroy any Evaluation Material contained in an archived computer backup system stored as a result of automated back-up procedures (it being agreed that you and your Representatives will not access such archived computer files containing any such Evaluation Material after such delivery or destruction is otherwise required) and  (ii) you and/or your Representatives may retain one copy of the Evaluation Material (and may only access any such Evaluation Material) to the extent and for so long as such retention and access by you or such Representative, as applicable, is required by law or regulation; provided, however, that in the case of each of clauses  (i) and  (ii) of this sentence, notwithstanding any other provision of this Agreement, you and your applicable Representatives will continue to be bound by the terms of this Agreement as if it were in full force and effect with respect to any such Evaluation Material for so long as you or your applicable Representatives retain any such Evaluation Material. ",1
"The furnishing of any CONFIDENTIAL INFORMATION hereunder shall not be construed as the granting of a license under any patent, patent application, copyright, copyright registration, trade secret or other proprietary right by the DISCLOSING PARTY to any person or entity or as implying any obligation other than is specifically stated herein. ",1
"Parent shall, and shall cause the applicable members of its Group to, contribute, assign, transfer, convey and deliver to SpinCo, or to the applicable SpinCo Designees, and SpinCo shall, and shall cause such SpinCo Designees to, accept from Parent and the applicable members of the Parent Group, all of Parent's and such Parent Group member's respective direct or indirect right, title and interest in and to all of the SpinCo IP Assets (it being understood that if any SpinCo IP Asset shall be held by a Transferred Entity or a wholly owned Subsidiary of a Transferred Entity, such SpinCo IP Asset may be assigned, transferred, conveyed and delivered to SpinCo as a result of the transfer of all of the equity interests in such Transferred Entity from Parent or the applicable members of the Parent Group to SpinCo or the applicable SpinCo Designee);",0
"This Agreement shall be governed, interpreted and construed in accordance with the laws of the State of Alabama, without giving effect to its conflict of laws provisions.",0
"With the exception of claims related to representations contained in the franchise disclosure document for the Brand, you, on your own behalf and on behalf of, as applicable, your officers, directors, managers, employees, heirs, administrators, executors, agents and representatives and their respective successors and assigns hereby release, remise, acquit and forever discharge us and the Entities and our and their respective officers, directors, employees, managers, agents, representatives and their respective successors and assigns from any and all actions, claims, causes of action, suits, rights, debts, liabilities, accounts, agreements, covenants, contracts, promises, warranties, judgments, executions, demands, damages, costs and expenses, whether known or unknown at this time, of any kind or nature, absolute or contingent, existing at law or in equity, on account of any matter, cause or thing whatsoever that has happened, developed or occurred relating to this Agreement or the relationship between you and us.",0
Valeant shall not at any time during the Term knowingly do or allow to be done any act or thing which will in any way impair or diminish the rights of Dova in or to the Dova Trademarks and Copyrights.,0
"Upon the termination or expiration of the Franchise, we will have the option, but not the obligation, exercisable for thirty (30) days upon written notice to you, to purchase at fair market value all of the assets of the Franchise, including all approved equipment, fixtures, furniture and signs and all supplies, materials, and other items imprinted with any Mark, and to take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise.",1
HSWI shall also provide reasonable assistance to World Book or its designated agent to conduct audits to confirm the payments hereunder.,1
"SELLER EXPRESSLY DISCLAIMS ANY AND ALL LIABILITY TO BUYER FOR ANY CONSEQUENTIAL DAMAGES, DAMAGES FOR LOSS OF USE, LOSS OF PROFITS, INCOME, OR REVENUE, LOSS OF TIME OR INCONVENIENCE, LOSS OR DAMAGE TO ASSOCIATED EQUIPMENT, COST OF SUBSTITUTED OR REPLACEMENT EQUIPMENT, LOSS TO FACILITIES, LOSS OF CAPITAL, LOSS OF SERVICES OR ANY OTHER INCIDENTAL, CONSEQUENTIAL OR SPECIAL DAMAGE ARISING OUT OF THIS ORDER OR THE OPERATION, FUNCTION OR CHARACTERISTICS OF THE PRODUCTS PURCHASED HEREUNDER OR OTHERWISE PROVIDED BY SELLER. IN THE EVENT THAT PRODUCTS DO NOT SATISFY SPECIFICATIONS, THEY WILL BE REPLACED, AT SELLER'S OPTION, WITH PRODUCTS THAT DO SATISFY THE SPECIFICATIONS AT SELLER'S SOLE EXPENSE. SAID REPLACEMENT IS THE SOLE AND EXCLUSIVE REMEDY OF BUYER.",1
Either Party may terminate this Agreement:<omitted>(iii) upon providing thirty (30) days' written notice to Reseller if Reseller terminates the provisions of the Annual Minimum Commitment and fails to meet the sales targets as set out in Schedule 3.,1
"From time to time, PaperExchange shall provide to VerticalNet, at PaperExchange's sole cost and expense, relevant content provided to it by third parties consisting of (a) job listings for inclusion, at VerticalNet's reasonable business discretion and at VerticalNet's then current listing rate, in the Co-Branded Career Center or on any other VerticalNet Site except a Site co-branded with a PaperExchange Competitor (the ""PaperExchange Career Content"") and (b) equipment listings for inclusion, at VerticalNet's reasonable business discretion and at VerticalNet's then current listing rate, in the Co-Branded Equipment Listings or on any other VerticalNet Site except a Site co-branded with a PaperExchange Competitor (the ""PaperExchange Equipment Content"", and together with the PaperExchange Career Content, the ""PaperExchange Content"").",1
"“Company Material Adverse Effect” means, with respect to the Acquired Companies, any Effect that, individually or when taken together with all other Effects, (i) does, or would reasonably be expected to, prevent or materially impair or materially delay the consummation of the Merger by the Company prior to the End Date or (ii) is, or would reasonably be expected to be, materially adverse to the business, operations, assets, liabilities, financial condition or results of operations of the Acquired Companies taken as a whole; provided that, for purposes of the foregoing clause (ii), in no event shall any of the following arising after the date of this Agreement, alone or in combination, or any Effect to the extent any of the foregoing results from any of the following arising after the date of this Agreement, be taken into account in determining whether there shall have occurred a Company Material Adverse Effect: (A) changes in the Company’s stock price or trading volume, in and of themselves (but not, in each case, the underlying cause of such change, unless such underlying cause would otherwise be excepted from this definition); (B) any failure by the Company to meet, or changes to, published revenue, earnings or other financial projections, or any failure by the Company to meet any internal budgets, plans or forecasts of revenue, earnings or other financial projections, in each case in and of itself (but not, in each case, the underlying cause of such failure, unless such underlying cause would otherwise be excepted from this definition); (C) general business, economic or political conditions in the United States or any other country or region in the world, or changes therein; (D) conditions in the financial, credit, banking, capital or currency markets in the United States or any other country or region in the world, or changes therein, including (1) changes in interest rates in the United States or any other country and changes in exchange rates for the currencies of any countries and (2) any suspension of trading in securities (whether equity, debt, derivative or hybrid securities) generally on any securities exchange or over-the-counter market operating in the United States or any other country or region in the world; (E) changes in general conditions in an industry in which the Acquired Companies operate; (F) acts of hostilities, war, sabotage or terrorism (including any outbreak, escalation or general worsening of any such acts of hostilities, war, sabotage or terrorism) in the United States or any other country or region in the world; (G) earthquakes, hurricanes, tsunamis, tornadoes, floods, mudslides, wild fires or other natural or man-made disasters or acts of God or weather conditions in the United States or any other country or region in the world, or any escalation of the foregoing; (H) any epidemic, pandemic or other similar outbreak (including continuation or escalation of the COVID-19 pandemic) in the United States or any country or region in the world where the Acquired Companies have material operations, or any escalation of the foregoing; (I) the execution or announcement of this Agreement or the pendency or consummation of the Transactions, including the impact thereof on the relationships, contractual or otherwise, of the Acquired Companies with employees, customers, contractors, lenders, suppliers, vendors or partners, or the identity of Parent or any of its Affiliates as the acquirer of the Company (it being understood and agreed that this clause (I) shall not apply with respect to any representation or warranty the purpose of which is to address the consequences of the execution and delivery of this Agreement or the consummation of the Transactions, or the performance of obligations hereunder or thereunder); (J) (1) any action taken by the Company at the written request of Parent that is not expressly required to be taken by the terms of this Agreement or (2) any action expressly required to be taken by the Company by the terms of this Agreement and that are necessary for purposes of consummating the Merger; (K) changes in Law; (L) changes or proposed changes in GAAP or other accounting standards (or the enforcement or interpretation thereof); and (M) any Transaction Litigation; provided that, in each of the foregoing clauses (C), (D), (E), (F), (G), (H), (K) and (L), such Effects referred to therein may be taken into account to the extent that the Acquired Companies are disproportionally affected relative to other similarly situated companies in the industry in which the Acquired Companies operate, in each case only to the extent of any such incremental disproportionate impact or impacts. (Page 4)",1
Capital Resources may terminate this Agreement by giving the notice indicated below in this Section at any time after this Agreement becomes effective as follows:,1
"Sparkling shall not be entitled to make use of the Codes except as provided in Section (b), provided that Sparkling may itself or by retaining independent experts, examine and test the materials for compliance with the obligations of Garman hereunder.",1
"Dynamic Hearing grants to IntriCon in accordance with this Agreement, for the Term, a license, to Use Dynamic Hearing's Technology, Software and Documentation developed as of the Commencement Date to manufacture, import, sell and offer for sale throughout the Territory, Products containing Dynamic Hearing's Technology and Software.",0
This Agreement will automatically renew for successive one-year terms unless terminated by either party by providing the other with 30 days written notice that this Agreement will not be renewed or Affiliate enters into a Processing agreement with Network 1 and an ISO Sponsorship agreement with Harris Bank in which case this Agreement will automatically terminate concurrent with the execution of such agreements.,1
"All inventions, ideas, creations, discoveries, computer programs, works of authorship, data, developments, technology, designs, innovations and improvements (whether or not patentable and whether or not copyrightable) which are made, conceived, reduced to practice, created, written, designed or developed by the Consultant, solely or jointly with others or under Consultant's direction and whether during normal business hours or otherwise, (i) during the Consultation Period if related to the business of the Company or (ii) during or after the Consultation Period if resulting or directly derived from Proprietary Information (as defined above) (collectively under clauses (i) and (ii), ""Inventions""), shall be the sole property of the Company.",0
"Section 4.1            Covenants of VEREIT.   (a)               From and after the date hereof until the earlier of the Effective Time or termination of this Agreement in accordance with its terms, and except (i) as expressly contemplated or permitted by this Agreement, (ii) to the extent required in order to effect the Separation or the OfficeCo Distribution on the terms and conditions set forth herein, (iii) as set forth in Section 4.1(a) of the VEREIT Disclosure Letter, (iv) as required by applicable Law or the regulations or requirements of any stock exchange or regulatory organization applicable to VEREIT or any of its Subsidiaries, (v) to the extent action is reasonably taken (or reasonably omitted) in response to Covid-19 or Covid-19 Measures that are reasonably necessary to protect the health and safety of VEREIT’s or its Subsidiaries’ employees and other individuals having business dealings with or relating to VEREIT or any of its Subsidiaries or to respond to third-party supply, customer, service or other business disruptions caused by Covid-19 or any Covid-19 Measures, or (vi) with Realty Income’s prior written consent (which consent is not to be unreasonably withheld, conditioned or delayed), VEREIT agrees as to itself and its Subsidiaries that such entities shall use commercially reasonable efforts to (1) carry on their respective businesses in the ordinary course consistent with past practice in all material respects, (2) maintain their material assets and properties in their current condition in all material respects (normal wear and tear and damage caused by casualty or by any reason outside of VEREIT and its Subsidiaries’ reasonable control excepted), (3) preserve VEREIT’s business organization intact, and to maintain its existing relations and goodwill with customers, suppliers, distributors, creditors, lessors and tenants, (4) maintain all insurance policies in all material respects and (5) maintain the status of VEREIT as a REIT. (Page 23)",0
"This Agreement and its application and interpretation will be governed exclusively by its terms and the laws of the State of Nevada (USA), and excluding any conflicts of law provisions which would require the application of any law other than Nevada.",0
"Harpoon shall not, and shall cause its Affiliates not to (a) directly or indirectly, develop, commercialize or otherwise exploit any Competing Product in any country or other jurisdiction in the Territory, or (b) license, authorize, appoint, or otherwise enable any Third Party to directly or indirectly, develop, commercialize or otherwise exploit any Competing Product in any country or other jurisdiction in the Territory, except, in each case ((a) and (b)), as otherwise expressly provided in this Agreement.",1
This Agreement shall be interpreted under the laws of the State of Nevada.,0
"The term ""Confidential Information"" as used herein means all trade secrets or confidential or proprietary information of either party, whether or not marked “Confidential”, whether in written or oral form, relating to such party's business or technology, including without limitation, its products, customer data, development and marketing plans, and financial information.  ",0
Neither Party shall assign this Development Agreement or the obligations contained herein without the express written consent of the other Party.,1
"SpinCo hereby covenants not to sue RemainCo under any Licensed SpinCo Know-How and under SpinCo's right, title and interest in and to Shared Library Materials and Foundational Software, including, without limitation, all applicable Patents, Copyrights, and Know-How, for infringement or misappropriation based upon any action that occurs in connection with the continued operation of the RemainCo Business and any future extensions of the RemainCo Business in any field other than the SpinCo Core Field after the Distribution Date",0
"The Confidential Information (as defined in Section 2), whether transmitted orally, in writing or in any other form, and whether prepared by a Party or its employees, agents, advisors or other representatives, shall be preserved in strict confidence by the receiving Party, shall not be disclosed, disseminated or distributed by the receiving Party other than as expressly authorized herein, and shall be used exclusively for the purposes or transactions contemplated by this Agreement.  ",1
"The Professional hereby grants to the Company an exclusive license to use her name, likeness, image and personal identification, singly or in any combination, in connection with the production, use, marketing and sale of a ""Kathy Whitworth"" signature line of women's golf clubs (the ""Products""), as described more fully in Section 3 below.",1
